pair,day,rate,source
USD/CNY,2024-01-02,7.1286,sample
USD/CNY,2024-01-03,7.1301,sample
USD/CNY,2024-01-04,7.126,sample
USD/CNY,2024-01-05,7.1165,sample
USD/CNY,2024-01-08,7.1183,sample
USD/CNY,2024-01-09,7.1079,sample
USD/CNY,2024-01-10,7.114,sample
USD/CNY,2024-01-11,7.1225,sample
USD/CNY,2024-01-12,7.1023,sample
USD/CNY,2024-01-15,7.0923,sample
USD/CNY,2024-01-16,7.0655,sample
USD/CNY,2024-01-17,7.0493,sample
USD/CNY,2024-01-18,7.049,sample
USD/CNY,2024-01-19,7.0302,sample
USD/CNY,2024-01-22,7.0438,sample
USD/CNY,2024-01-23,7.0259,sample
USD/CNY,2024-01-24,7.0673,sample
USD/CNY,2024-01-25,7.066,sample
USD/CNY,2024-01-26,7.0687,sample
USD/CNY,2024-01-29,7.063,sample
USD/CNY,2024-01-30,7.0524,sample
USD/CNY,2024-01-31,7.0695,sample
USD/CNY,2024-02-01,7.0898,sample
USD/CNY,2024-02-02,7.0881,sample
USD/CNY,2024-02-05,7.0835,sample
USD/CNY,2024-02-06,7.0726,sample
USD/CNY,2024-02-07,7.058,sample
USD/CNY,2024-02-08,7.0603,sample
USD/CNY,2024-02-09,7.0364,sample
USD/CNY,2024-02-12,7.0227,sample
USD/CNY,2024-02-13,7.0187,sample
USD/CNY,2024-02-14,7.0181,sample
USD/CNY,2024-02-15,7.0147,sample
USD/CNY,2024-02-16,7.0078,sample
USD/CNY,2024-02-19,7.0135,sample
USD/CNY,2024-02-20,7.0184,sample
USD/CNY,2024-02-21,7.0204,sample
USD/CNY,2024-02-22,7.0219,sample
USD/CNY,2024-02-23,7.0035,sample
USD/CNY,2024-02-26,7.0325,sample
USD/CNY,2024-02-27,7.0255,sample
USD/CNY,2024-02-28,7.0346,sample
USD/CNY,2024-02-29,7.0355,sample
USD/CNY,2024-03-01,7.0422,sample
USD/CNY,2024-03-04,7.0249,sample
USD/CNY,2024-03-05,7.0267,sample
USD/CNY,2024-03-06,7.01,sample
USD/CNY,2024-03-07,6.9944,sample
USD/CNY,2024-03-08,6.9805,sample
USD/CNY,2024-03-11,6.9647,sample
USD/CNY,2024-03-12,6.9576,sample
USD/CNY,2024-03-13,6.9614,sample
USD/CNY,2024-03-14,6.9674,sample
USD/CNY,2024-03-15,6.9797,sample
USD/CNY,2024-03-18,6.9976,sample
USD/CNY,2024-03-19,7.021,sample
USD/CNY,2024-03-20,7.0159,sample
USD/CNY,2024-03-21,7.0173,sample
USD/CNY,2024-03-22,7.0072,sample
USD/CNY,2024-03-25,7.0265,sample
USD/CNY,2024-03-26,7.0389,sample
USD/CNY,2024-03-27,7.0542,sample
USD/CNY,2024-03-28,7.046,sample
USD/CNY,2024-03-29,7.0513,sample
USD/CNY,2024-04-01,7.0405,sample
USD/CNY,2024-04-02,7.0393,sample
USD/CNY,2024-04-03,7.0536,sample
USD/CNY,2024-04-04,7.0527,sample
USD/CNY,2024-04-05,7.0561,sample
USD/CNY,2024-04-08,7.0523,sample
USD/CNY,2024-04-09,7.0338,sample
USD/CNY,2024-04-10,7.0258,sample
USD/CNY,2024-04-11,7.0066,sample
USD/CNY,2024-04-12,7.0125,sample
USD/CNY,2024-04-15,7.0115,sample
USD/CNY,2024-04-16,7.0162,sample
USD/CNY,2024-04-17,6.9812,sample
USD/CNY,2024-04-18,6.9675,sample
USD/CNY,2024-04-19,7.0074,sample
USD/CNY,2024-04-22,7.0051,sample
USD/CNY,2024-04-23,7.0035,sample
USD/CNY,2024-04-24,6.9986,sample
USD/CNY,2024-04-25,7.0223,sample
USD/CNY,2024-04-26,7.0111,sample
USD/CNY,2024-04-29,7.0017,sample
USD/CNY,2024-04-30,7.0152,sample
USD/CNY,2024-05-01,7.0175,sample
USD/CNY,2024-05-02,7.0258,sample
USD/CNY,2024-05-03,7.0434,sample
USD/CNY,2024-05-06,7.0498,sample
USD/CNY,2024-05-07,7.0361,sample
USD/CNY,2024-05-08,7.047,sample
USD/CNY,2024-05-09,7.0471,sample
USD/CNY,2024-05-10,7.0406,sample
USD/CNY,2024-05-13,7.0353,sample
USD/CNY,2024-05-14,7.0456,sample
USD/CNY,2024-05-15,7.0455,sample
USD/CNY,2024-05-16,7.0653,sample
USD/CNY,2024-05-17,7.0531,sample
USD/CNY,2024-05-20,7.0488,sample
USD/CNY,2024-05-21,7.0732,sample
USD/CNY,2024-05-22,7.0815,sample
USD/CNY,2024-05-23,7.0612,sample
USD/CNY,2024-05-24,7.0656,sample
USD/CNY,2024-05-27,7.0444,sample
USD/CNY,2024-05-28,7.0468,sample
USD/CNY,2024-05-29,7.0418,sample
USD/CNY,2024-05-30,7.0407,sample
USD/CNY,2024-05-31,7.0339,sample
USD/CNY,2024-06-03,7.0065,sample
USD/CNY,2024-06-04,7.0114,sample
USD/CNY,2024-06-05,7.0313,sample
USD/CNY,2024-06-06,7.032,sample
USD/CNY,2024-06-07,7.0427,sample
USD/CNY,2024-06-10,7.0395,sample
USD/CNY,2024-06-11,7.0407,sample
