symbol,day,close,source
AAPL,2024-01-02,186.1336,sample
AAPL,2024-01-03,184.6911,sample
AAPL,2024-01-04,185.008,sample
AAPL,2024-01-05,186.4813,sample
AAPL,2024-01-08,188.3885,sample
AAPL,2024-01-09,187.7095,sample
AAPL,2024-01-10,188.8398,sample
AAPL,2024-01-11,189.5017,sample
AAPL,2024-01-12,184.6555,sample
AAPL,2024-01-15,187.9778,sample
AAPL,2024-01-16,189.6093,sample
AAPL,2024-01-17,190.898,sample
AAPL,2024-01-18,192.6143,sample
AAPL,2024-01-19,196.5404,sample
AAPL,2024-01-22,192.8038,sample
AAPL,2024-01-23,199.7201,sample
AAPL,2024-01-24,197.9789,sample
AAPL,2024-01-25,194.8839,sample
AAPL,2024-01-26,189.5591,sample
AAPL,2024-01-29,186.8485,sample
AAPL,2024-01-30,186.9784,sample
AAPL,2024-01-31,185.5281,sample
AAPL,2024-02-01,181.9524,sample
AAPL,2024-02-02,183.8785,sample
AAPL,2024-02-05,178.2578,sample
AAPL,2024-02-06,175.3065,sample
AAPL,2024-02-07,180.9284,sample
AAPL,2024-02-08,182.224,sample
AAPL,2024-02-09,181.6171,sample
AAPL,2024-02-12,182.2185,sample
AAPL,2024-02-13,182.8123,sample
AAPL,2024-02-14,184.4956,sample
AAPL,2024-02-15,184.9868,sample
AAPL,2024-02-16,185.5957,sample
AAPL,2024-02-19,186.0921,sample
AAPL,2024-02-20,184.5356,sample
AAPL,2024-02-21,182.9851,sample
AAPL,2024-02-22,186.233,sample
AAPL,2024-02-23,183.7188,sample
AAPL,2024-02-26,184.0119,sample
AAPL,2024-02-27,180.5367,sample
AAPL,2024-02-28,176.9624,sample
AAPL,2024-02-29,174.4219,sample
AAPL,2024-03-01,173.1185,sample
AAPL,2024-03-04,173.9462,sample
AAPL,2024-03-05,177.5288,sample
AAPL,2024-03-06,176.2859,sample
AAPL,2024-03-07,175.9448,sample
AAPL,2024-03-08,175.1533,sample
AAPL,2024-03-11,179.6069,sample
AAPL,2024-03-12,181.8123,sample
AAPL,2024-03-13,180.7102,sample
AAPL,2024-03-14,182.3708,sample
AAPL,2024-03-15,181.0944,sample
AAPL,2024-03-18,182.2311,sample
AAPL,2024-03-19,179.3081,sample
AAPL,2024-03-20,175.5615,sample
AAPL,2024-03-21,174.4215,sample
AAPL,2024-03-22,173.2763,sample
AAPL,2024-03-25,171.2401,sample
AAPL,2024-03-26,170.3535,sample
